Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimised_parameters
split_symmig_adjacent	Round_1_Replicate_2	-15059.53	30137.06	79161.35	484.54	0.4059,1.5041,0.2227,4.1095,0.1751,1.3438,0.4335,1.8001,3.5299
split_symmig_adjacent	Round_1_Replicate_3	-25142.16	50302.32	-1.3895844389e+11	394.42	5.6132,1.1451,0.8375,1.4527,0.2944,3.165,3.5136,1.1816,2.2088
split_symmig_adjacent	Round_1_Replicate_4	-12486.78	24991.56	61614.15	281.25	5.0375,1.4526,1.2929,2.0077,1.739,0.1594,0.3158,2.3748,2.4516
split_symmig_adjacent	Round_1_Replicate_5	-12774.17	25566.34	336083.97	356.89	0.5978,0.5915,2.3303,4.4379,1.3052,4.0204,0.1789,1.8322,2.9475
split_symmig_adjacent	Round_1_Replicate_6	-12690.75	25399.5	86070.05	308.75	5.5248,7.0551,0.6958,0.9848,4.888,0.2433,0.1893,2.6257,0.4031
split_symmig_adjacent	Round_1_Replicate_7	-19610.63	39239.26	7156974.59	505.01	2.0947,0.3749,7.7297,0.2166,0.2125,0.2034,2.4196,0.2981,1.4084
split_symmig_adjacent	Round_1_Replicate_8	-13008.42	26034.84	146619.63	510.02	4.3767,0.3316,0.3144,1.6541,4.198,4.7088,0.6711,0.308,3.9616
split_symmig_adjacent	Round_1_Replicate_9	-12102.6	24223.2	273722.83	1246.19	0.441,0.6659,0.6359,0.1877,1.809,6.59,3.0376,6.2017,2.2297
split_symmig_adjacent	Round_1_Replicate_10	-11788.44	23594.88	176081.89	377.05	2.289,1.2933,3.1235,0.6379,2.3504,1.0534,0.5235,0.1328,3.167
split_symmig_adjacent	Round_2_Replicate_1	-12888.39	25794.78	114394.15	963.3	3.6453,0.4033,0.085,0.6987,1.8302,7.8044,0.0854,2.8796,0.7414
split_symmig_adjacent	Round_2_Replicate_2	-10819.4	21656.8	58004.85	1176.31	0.4258,0.8259,0.7015,0.3318,0.2502,0.9344,0.0815,0.4709,0.3881
split_symmig_adjacent	Round_2_Replicate_3	-17720.29	35458.58	18320745.09	1335.18	0.916,0.1759,0.414,0.8222,1.1332,0.8898,0.2078,0.8824,0.0741
split_symmig_adjacent	Round_2_Replicate_4	-13150.06	26318.12	170077.45	1897.23	0.234,0.0969,0.5483,1.2182,1.0706,4.5992,0.0942,2.2446,0.1453
split_symmig_adjacent	Round_2_Replicate_5	-13862.4	27742.8	88844.85	709.33	2.651,0.5272,0.0705,0.4573,0.6732,3.1466,0.621,3.0733,0.0946
split_symmig_adjacent	Round_2_Replicate_6	-11368.4	22754.8	56720.79	929.21	2.1589,0.6194,0.1999,0.2625,2.0542,2.331,0.1368,0.9419,0.3444
split_symmig_adjacent	Round_2_Replicate_7	-12707.14	25432.28	46978.44	1965.52	0.3595,0.4195,0.0845,0.1826,1.5764,0.5655,0.2038,0.6952,0.0786
split_symmig_adjacent	Round_2_Replicate_8	-11090.82	22199.64	56830.22	678.29	1.8,1.281,0.3774,0.7953,0.1961,1.2852,0.4786,1.5612,0.211
split_symmig_adjacent	Round_2_Replicate_9	-8798.54	17615.08	18634.24	1061.85	0.6081,0.7927,0.1623,0.2939,0.2362,5.1079,0.7122,4.4398,0.3037
split_symmig_adjacent	Round_2_Replicate_10	-8852.59	17723.18	19494.89	1095.39	0.4029,1.4677,0.4144,0.2859,0.5695,3.096,0.4986,1.6594,0.1521
split_symmig_adjacent	Round_3_Replicate_1	-9635.08	19288.16	23604.24	779.96	0.8448,0.9518,0.1388,0.2317,0.15,5.8855,0.421,8.1649,0.1517
split_symmig_adjacent	Round_3_Replicate_2	-8711.11	17440.22	17565.27	1119.28	0.5811,1.0285,0.182,0.299,0.4291,3.1976,0.5763,2.8205,0.3074
split_symmig_adjacent	Round_3_Replicate_3	-8310.73	16639.46	13949.97	993.11	0.4766,1.3285,0.2388,0.3346,0.4227,3.7332,0.4687,4.7335,0.2645
split_symmig_adjacent	Round_3_Replicate_4	-8603.26	17224.52	20803.94	1099.33	0.55,0.7787,0.2528,0.3071,0.4347,4.5747,0.5497,7.5731,0.4906
split_symmig_adjacent	Round_3_Replicate_5	-9243.24	18504.48	17068.11	1145.56	0.4274,0.8993,0.1254,0.5353,0.2476,6.6386,0.9772,2.8769,0.2661
split_symmig_adjacent	Round_3_Replicate_6	-9276.59	18571.18	26009.61	695.07	0.9741,1.3172,0.1597,0.4235,0.1478,5.2242,0.3915,8.4585,0.3852
split_symmig_adjacent	Round_3_Replicate_7	-8993.7	18005.4	23920.05	1095.87	0.5668,1.0917,0.2263,0.236,0.2704,6.6364,1.0206,4.1699,0.5633
split_symmig_adjacent	Round_3_Replicate_8	-8779.82	17577.64	15876.11	1181.73	0.5125,0.5892,0.2508,0.3357,0.3984,2.6083,1.0369,4.0257,0.5331
split_symmig_adjacent	Round_3_Replicate_9	-8970.85	17959.7	28905.38	1188.03	0.3602,1.1426,0.2181,0.2611,0.1431,7.6407,0.3724,2.5767,0.3196
split_symmig_adjacent	Round_3_Replicate_10	-9650.37	19318.74	26692.54	1141.15	0.718,0.8259,0.1107,0.1555,0.3852,6.919,1.016,9.1468,0.2949
split_symmig_adjacent	Round_3_Replicate_11	-9285.07	18588.14	32973.35	1032.85	0.5351,1.5262,0.2069,0.2087,0.2432,8.1273,0.8516,4.5485,0.451
split_symmig_adjacent	Round_3_Replicate_12	-8553.32	17124.64	16876.21	1560.3	0.35,0.4454,0.158,0.2856,0.393,7.2821,0.9706,2.9573,0.2546
split_symmig_adjacent	Round_3_Replicate_13	-9699.48	19416.96	41459.68	1052.61	0.5378,0.5179,0.2928,0.2069,0.1554,5.4594,0.4337,5.6251,0.4958
split_symmig_adjacent	Round_3_Replicate_14	-10836.57	21691.14	32485.81	1150.23	0.3546,0.9093,0.1359,0.1497,0.1145,2.9478,0.4664,4.0315,0.1595
split_symmig_adjacent	Round_3_Replicate_15	-8712.1	17442.2	18345.8	1440.91	0.3455,0.8267,0.169,0.2721,0.2681,4.7063,0.8338,2.3,0.5757
split_symmig_all	Round_1_Replicate_1	-20052.68	40125.36	347792431.7	1114.73	1.8208,0.1244,1.0593,0.3128,0.1897,2.7386,0.3005,4.5615,0.2433,0.1462
split_symmig_all	Round_1_Replicate_2	-28535.94	57091.88	-1.41802818024e+13	682.46	0.5453,0.774,0.7531,4.5851,0.3943,3.8957,5.8716,0.2595,6.9228,0.3207
split_symmig_all	Round_1_Replicate_3	-27413.61	54847.22	-89439526978.3	244.48	7.4809,0.9373,0.9788,2.7883,0.3173,1.0205,2.9278,0.394,0.7929,7.1535
split_symmig_all	Round_1_Replicate_4	-28628.32	57276.64	2.54659139762e+11	546.52	3.1479,0.3104,0.2046,2.5275,3.1921,1.0789,0.3519,1.9738,0.4622,1.2164
split_symmig_all	Round_1_Replicate_5	-23317.86	46655.72	106709954.03	968.3	0.1326,2.6869,0.1942,7.9399,1.3598,1.3707,0.5458,3.8676,0.1403,1.4399
split_symmig_all	Round_1_Replicate_6	-9730.8	19481.6	28848.31	1010.76	0.6313,3.1343,0.4911,0.2948,0.2101,0.7883,0.1566,0.3261,0.6777,0.2352
split_symmig_all	Round_1_Replicate_7	-25660.01	51340.02	6.21998527745e+11	608.34	1.161,4.4598,0.9626,2.5962,4.9127,4.4937,1.5906,0.9502,0.5462,0.36
split_symmig_all	Round_1_Replicate_8	-15587.09	31194.18	2624873.66	986.04	0.3002,2.5162,4.8691,0.1617,6.0987,3.8358,2.8573,1.2186,0.6716,1.6148
split_symmig_all	Round_1_Replicate_9	-21158.55	42337.1	5032303590.13	1058.37	0.3174,0.2401,0.7459,1.3123,5.3059,1.145,1.7091,1.9859,0.1742,0.488
split_symmig_all	Round_1_Replicate_10	-36071.08	72162.16	1.60286576788e+15	420.79	0.2381,0.5245,7.199,5.2263,1.6304,2.493,2.3801,3.0415,0.6704,4.3987
split_symmig_all	Round_2_Replicate_1	-17237.95	34495.9	191008.46	1001.11	0.2296,1.6355,0.3788,0.8718,0.3396,0.2081,0.101,0.1897,1.5248,0.1587
split_symmig_all	Round_2_Replicate_2	-11227.75	22475.5	38557.08	1451.24	0.281,0.8151,0.7974,0.1896,0.8286,1.0838,0.2252,0.7393,0.2624,0.1025
split_symmig_all	Round_2_Replicate_3	-12391.57	24803.14	68442.59	1399.88	0.5166,8.0805,0.1894,0.1368,0.1012,0.3458,0.2693,0.1342,0.42,0.1666
split_symmig_all	Round_2_Replicate_4	-10749.04	21518.08	32991.92	808.84	1.6026,3.8128,0.5484,0.1822,0.0635,0.7855,0.0524,0.6497,0.6013,0.1105
split_symmig_all	Round_2_Replicate_5	-13578.76	27177.52	99021.77	1467.21	0.3465,6.8298,0.1767,0.1208,0.8157,0.7773,0.2131,0.3944,1.706,0.7698
split_symmig_all	Round_2_Replicate_6	-17336.84	34693.68	559486.06	775.01	0.1914,5.8219,1.0396,0.7619,0.6692,0.24,0.2823,0.4126,1.0699,0.2109
split_symmig_all	Round_2_Replicate_7	-13900.57	27821.14	100196.7	1242.73	0.2478,6.3448,0.6026,0.3043,0.1148,0.2345,0.0843,0.381,0.3145,0.5033
split_symmig_all	Round_2_Replicate_8	-12442.6	24905.2	36655.52	1189.1	0.4147,4.845,0.212,0.2766,0.5479,0.5365,0.558,1.2009,1.8693,0.7201
split_symmig_all	Round_2_Replicate_9	-12410.29	24840.58	56016.49	880.33	1.8213,2.2198,0.2249,0.3598,0.255,0.5762,0.3702,0.2036,0.4006,0.7042
split_symmig_all	Round_2_Replicate_10	-12611.44	25242.88	48594.11	736.02	2.0212,1.3863,0.236,0.3311,0.2652,0.4468,0.0509,0.3075,1.3785,0.1324
split_symmig_all	Round_3_Replicate_1	-10159.52	20339.04	26755.11	1012.59	1.0676,4.7123,0.4007,0.2361,0.3405,0.6674,0.0851,0.5509,0.4094,0.1883
split_symmig_all	Round_3_Replicate_2	-11304.96	22629.92	41191.03	1021.6	1.1703,1.8761,0.2878,0.2182,0.2096,0.6056,0.0934,0.4858,0.6429,0.259
split_symmig_all	Round_3_Replicate_3	-9767.09	19554.18	40139.49	1066.05	0.6508,3.3466,0.7663,0.1848,0.2633,1.4666,0.1109,0.2048,0.3791,0.35
split_symmig_all	Round_3_Replicate_4	-10376.45	20772.9	33062.48	973.89	0.9131,1.5955,0.3385,0.4093,0.276,0.6833,0.1307,0.221,0.8092,0.2817
split_symmig_all	Round_3_Replicate_5	-9772.73	19565.46	27273.49	1107.61	0.4886,1.7197,0.2745,0.2693,0.1791,1.3766,0.0802,0.3334,1.2253,0.1594
split_symmig_all	Round_3_Replicate_6	-10395.49	20810.98	34015.2	1046.27	0.3859,2.0833,0.5071,0.4545,0.1589,0.7059,0.0834,0.3363,0.887,0.4043
split_symmig_all	Round_3_Replicate_7	-9663.5	19347.0	25560.93	996.42	0.5296,2.4917,0.6021,0.267,0.316,0.981,0.2712,0.4395,0.8772,0.2128
split_symmig_all	Round_3_Replicate_8	-10284.39	20588.78	29394.34	956.83	0.7466,1.642,0.8847,0.3743,0.1241,0.6481,0.297,0.4166,0.4493,0.302
split_symmig_all	Round_3_Replicate_9	-10477.9	20975.8	35577.59	1000.6	0.4327,5.3447,0.7658,0.2094,0.2278,0.7767,0.1633,0.3959,0.584,0.19
split_symmig_all	Round_3_Replicate_10	-10074.45	20168.9	34495.85	1022.85	0.7864,1.8621,0.4313,0.2659,0.1386,0.7532,0.0875,0.217,0.7478,0.2275
split_symmig_all	Round_3_Replicate_11	-9593.28	19206.56	31810.53	1051.76	0.7016,2.378,0.5396,0.3224,0.1276,0.7894,0.2138,0.1968,0.4196,0.4331
split_symmig_all	Round_3_Replicate_12	-11963.43	23946.86	73144.19	1139.57	0.7323,2.9969,0.3286,0.1978,0.2288,0.4584,0.1807,0.259,0.642,0.4578
split_symmig_all	Round_3_Replicate_13	-11205.3	22430.6	57443.17	853.11	0.836,3.5698,0.6578,0.1962,0.197,0.3966,0.1652,0.191,1.1152,0.3042
split_symmig_all	Round_3_Replicate_14	-8979.81	17979.62	19654.33	983.41	0.6128,3.608,0.6606,0.3137,0.2312,1.4953,0.2336,0.6237,0.6117,0.3546
split_symmig_all	Round_3_Replicate_15	-9802.97	19625.94	30683.42	969.91	0.6966,2.8457,0.291,0.1804,0.2142,1.1047,0.1294,0.3971,1.2331,0.146
