Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimised_parameters
ancmig_adj_3	Round_1_Replicate_2	-24112.1	48240.2	1871873.01	227.49	4.4178,4.33,3.2438,2.1301,2.0502,0.9584,0.2545,3.7881
ancmig_adj_3	Round_1_Replicate_3	-15963.73	31943.46	182375.69	280.94	3.1873,2.4135,5.6786,0.7557,1.488,3.1434,0.5072,1.1854
ancmig_adj_3	Round_1_Replicate_4	-23589.55	47195.1	889207.94	2061.53	0.1924,0.3168,0.2436,0.2395,0.7563,0.1775,0.2153,0.1205
ancmig_adj_3	Round_1_Replicate_5	-43452.07	86920.14	622582714.52	187.89	7.6284,1.8541,1.311,1.2988,0.2149,4.0297,0.4786,5.8132
ancmig_adj_3	Round_1_Replicate_6	-24836.31	49688.62	2266039.29	649.39	0.5335,4.7786,2.2578,0.438,1.8038,0.4734,0.1824,0.9764
ancmig_adj_3	Round_1_Replicate_7	-80933.35	161882.7	-1.09107908235e+17	510.55	0.1963,6.947,2.2524,0.2034,0.7624,3.8077,0.3392,2.6594
ancmig_adj_3	Round_1_Replicate_8	-32434.72	64885.44	-6.73355816832e+13	369.56	0.4648,2.2262,3.8552,0.2844,0.3168,5.6764,7.967,0.2379
ancmig_adj_3	Round_1_Replicate_9	-18662.79	37341.58	307719.26	462.55	1.6266,7.5455,0.2397,0.3922,0.983,5.8538,0.6044,0.4201
ancmig_adj_3	Round_1_Replicate_10	-19267.98	38551.96	240337.4	717.83	1.7642,0.4331,2.7058,0.2611,0.2998,2.1158,0.1214,0.1398
ancmig_adj_3	Round_2_Replicate_1	-20191.78	40399.56	639905.61	234.58	10.479,1.6857,14.4899,0.3053,2.9531,1.7131,0.6883,0.7736
ancmig_adj_3	Round_2_Replicate_2	-18738.66	37493.32	307358.29	320.8	1.7408,2.1998,2.6482,1.6959,0.6876,6.0779,0.8747,1.202
ancmig_adj_3	Round_2_Replicate_3	-27969.56	55955.12	82826238.71	205.03	5.44,1.8787,3.9016,0.3473,3.2381,13.046,0.2091,2.8487
ancmig_adj_3	Round_2_Replicate_4	-23299.37	46614.74	1168835.11	315.59	0.9447,5.272,19.1371,0.2785,3.4205,4.8481,1.4967,0.3844
ancmig_adj_3	Round_2_Replicate_5	-16808.95	33633.9	300960.27	230.34	2.6639,7.5243,19.6951,0.2648,4.1381,3.8809,0.4312,0.6633
ancmig_adj_3	Round_2_Replicate_6	-37681.13	75378.26	1327944171.91	217.02	3.8251,2.9081,14.4406,0.1897,0.6208,1.5999,1.3565,1.7998
ancmig_adj_3	Round_2_Replicate_7	-15055.54	30127.08	101924.67	276.24	7.5934,6.3089,2.0947,1.8507,1.6843,1.2147,0.265,0.8512
ancmig_adj_3	Round_2_Replicate_8	-13637.01	27290.02	68791.83	663.48	1.5258,0.6164,2.15,0.3621,5.3357,2.7684,0.1985,0.3543
ancmig_adj_3	Round_2_Replicate_9	-21310.7	42637.4	910236.95	193.43	11.6746,3.3454,11.0051,0.3479,4.5772,1.5587,1.4295,0.9262
ancmig_adj_3	Round_2_Replicate_10	-15442.85	30901.7	105485.64	297.13	9.6306,1.8589,3.5852,0.2996,0.4578,2.173,0.1666,0.3576
ancmig_adj_3	Round_3_Replicate_1	-13215.18	26446.36	60988.41	763.25	1.2124,0.7483,1.2118,0.2503,3.1584,3.2828,0.215,0.2497
ancmig_adj_3	Round_3_Replicate_2	-14421.82	28859.64	65120.01	619.91	2.6621,0.5992,1.8549,0.2829,3.6491,2.2852,0.2691,0.2093
ancmig_adj_3	Round_3_Replicate_3	-17654.31	35324.62	241843.17	950.42	1.0082,0.3504,2.1324,0.4548,4.0679,4.5037,0.245,0.1794
ancmig_adj_3	Round_3_Replicate_4	-15425.38	30866.76	121118.08	725.6	0.7727,0.902,3.0724,0.2822,4.2555,3.7666,0.2835,0.3057
ancmig_adj_3	Round_3_Replicate_5	-15544.11	31104.22	139642.22	705.07	1.1834,1.0023,1.1475,0.3994,7.3277,1.6803,0.3781,0.458
ancmig_adj_3	Round_3_Replicate_6	-12698.05	25412.1	49491.72	489.51	3.0887,1.0243,3.3013,0.2828,3.9848,2.3177,0.2089,0.2754
ancmig_adj_3	Round_3_Replicate_7	-17580.29	35176.58	230406.34	704.92	1.5348,0.3795,2.0385,0.3598,7.1298,2.5408,0.2854,0.4795
ancmig_adj_3	Round_3_Replicate_8	-17648.6	35313.2	358196.54	720.35	0.9051,0.4457,3.3516,0.241,10.5169,5.2509,0.1065,0.5519
ancmig_adj_3	Round_3_Replicate_9	-14123.89	28263.78	78770.02	784.02	0.8624,0.7888,1.2205,0.7085,9.3793,1.4936,0.1759,0.3727
ancmig_adj_3	Round_3_Replicate_10	-16300.23	32616.46	154142.01	661.98	3.0325,0.3287,1.778,0.2444,6.0783,1.903,0.1514,0.382
ancmig_adj_3	Round_3_Replicate_11	-13272.92	26561.84	69926.39	655.55	1.414,1.0575,1.8385,0.3105,3.0919,1.6419,0.2038,0.3487
ancmig_adj_3	Round_3_Replicate_12	-14320.99	28657.98	77774.63	674.45	0.8901,0.6397,2.524,0.7172,3.9757,5.4889,0.1201,0.435
ancmig_adj_3	Round_3_Replicate_13	-14681.71	29379.42	68716.86	578.83	2.7732,0.5475,1.3259,0.5142,3.3688,4.7777,0.256,0.2551
ancmig_adj_3	Round_3_Replicate_14	-13152.25	26320.5	55565.7	736.28	1.1182,0.6836,1.9126,0.4366,9.3641,5.2072,0.2089,0.2213
ancmig_adj_3	Round_3_Replicate_15	-16488.65	32993.3	169890.39	705.93	0.8129,0.947,3.9844,0.2579,4.3863,2.2339,0.3564,0.301
refugia_adj_1	Round_1_Replicate_1	-9322.87	18663.74	26840.91	757.28	1.1544,0.1261,0.313,0.4016,2.0701,0.3945,2.8954,0.2186,7.6808
refugia_adj_1	Round_1_Replicate_2	-31202.0	62422.0	-1.67483027511e+12	224.07	2.67,0.1499,2.3324,3.038,1.7011,5.7198,1.6069,0.3195,8.2493
refugia_adj_1	Round_1_Replicate_3	-21574.24	43166.48	32593932.36	299.76	1.3468,0.2276,7.3332,0.5619,0.3592,1.3549,0.5921,3.5079,0.2402
refugia_adj_1	Round_1_Replicate_4	-16606.68	33231.36	16064262.06	408.58	0.4641,0.6792,1.286,0.8936,3.5744,2.2461,0.1532,6.9324,0.8308
refugia_adj_1	Round_1_Replicate_5	-15075.0	30168.0	9565214.43	168.09	1.5992,0.2314,7.8389,6.1032,2.2351,0.2658,0.3311,5.9598,0.5189
refugia_adj_1	Round_1_Replicate_6	-19732.55	39483.1	457121.14	408.5	0.346,1.0014,0.6548,0.5433,0.1807,0.1367,6.5413,4.122,1.2246
refugia_adj_1	Round_1_Replicate_7	-13511.31	27040.62	472830.64	720.23	0.5745,0.3314,2.1012,0.8871,0.8604,0.7062,0.5586,0.1357,0.7465
refugia_adj_1	Round_1_Replicate_8	-15849.11	31716.22	395338.53	480.14	1.3678,2.5697,0.294,0.3309,0.6834,3.8028,0.1888,6.0828,0.4641
refugia_adj_1	Round_1_Replicate_9	-23179.94	46377.88	831042.59	1152.42	0.1994,0.2161,0.1863,3.1992,0.3794,0.6584,0.5129,0.2423,0.1604
refugia_adj_1	Round_1_Replicate_10	-16311.79	32641.58	818301.18	259.22	6.0461,0.4382,0.896,0.5772,0.4267,1.4987,8.2388,0.3826,0.7507
refugia_adj_1	Round_2_Replicate_1	-11283.52	22585.04	39654.89	1050.55	0.6627,0.0546,0.4059,0.1396,0.8673,1.1802,1.7125,0.3119,4.2159
refugia_adj_1	Round_2_Replicate_2	-13780.94	27579.88	105781.64	741.28	1.0115,0.0447,0.1083,0.5093,3.8295,0.1705,9.556,0.1308,4.0684
refugia_adj_1	Round_2_Replicate_3	-14355.11	28728.22	103545.86	609.85	2.8474,0.1098,0.1431,0.1389,1.5495,0.4259,7.752,0.1359,2.7223
refugia_adj_1	Round_2_Replicate_4	-8923.79	17865.58	21368.93	856.86	0.4974,0.1474,0.4367,0.4772,2.198,0.4599,1.8266,0.5706,28.0679
refugia_adj_1	Round_2_Replicate_5	-11308.05	22634.1	32197.04	694.62	1.1274,0.1358,0.2893,0.5668,0.593,0.8753,2.4191,0.5894,4.6524
refugia_adj_1	Round_2_Replicate_6	-10541.29	21100.58	35598.25	1460.79	0.8438,0.1426,0.1279,0.1343,2.8262,1.0353,2.2529,0.176,3.3228
refugia_adj_1	Round_2_Replicate_7	-12389.63	24797.26	94214.32	417.15	1.5946,0.1446,0.8885,0.2573,0.6168,0.1425,7.9972,0.0729,6.6299
refugia_adj_1	Round_2_Replicate_8	-13381.38	26780.76	47621.96	528.31	2.6506,0.3958,0.1484,0.4801,0.7043,0.9606,4.9052,0.1277,2.6577
refugia_adj_1	Round_2_Replicate_9	-10592.34	21202.68	26710.83	620.23	0.3604,0.0937,0.5742,1.2914,1.6081,0.4869,5.007,0.1735,2.6047
refugia_adj_1	Round_2_Replicate_10	-11660.5	23339.0	47894.23	612.9	3.4955,0.0683,0.4164,0.1648,2.4041,1.0061,2.4691,0.5654,2.9488
refugia_adj_1	Round_3_Replicate_1	-9561.15	19140.3	36450.64	764.3	0.5993,0.2387,0.5921,0.3328,2.9314,0.3372,1.0441,0.4553,27.0319
refugia_adj_1	Round_3_Replicate_2	-10360.45	20738.9	39130.0	727.6	0.733,0.0706,0.2969,0.5623,1.2686,0.2805,1.2135,0.3484,28.0679
refugia_adj_1	Round_3_Replicate_3	-9815.99	19649.98	29776.31	1009.44	0.3646,0.1045,0.6452,0.2419,1.9075,0.699,1.4776,0.7046,28.0679
refugia_adj_1	Round_3_Replicate_4	-8963.53	17945.06	18366.84	676.97	0.6648,0.073,0.56,0.7683,2.7279,0.6292,0.9395,0.6711,28.0679
refugia_adj_1	Round_3_Replicate_5	-9256.91	18531.82	23850.28	678.87	0.8996,0.073,0.5554,0.3858,1.1179,0.4616,1.1807,1.1101,28.0679
refugia_adj_1	Round_3_Replicate_6	-9688.55	19395.1	28841.51	826.39	0.3659,0.1858,0.3955,0.626,2.9004,0.3199,2.4417,1.0119,22.6719
refugia_adj_1	Round_3_Replicate_7	-8825.15	17668.3	20624.48	1297.81	0.4138,0.0844,0.2807,0.2621,3.0136,0.7799,1.0946,0.5214,27.7176
refugia_adj_1	Round_3_Replicate_8	-10096.62	20211.24	37351.22	950.64	0.3349,0.0808,0.3992,0.3887,2.6278,0.3211,1.6438,0.5258,28.0679
refugia_adj_1	Round_3_Replicate_9	-9690.82	19399.64	31657.63	1272.71	0.285,0.1827,0.2805,0.302,3.39,0.4767,1.6532,0.7222,25.5632
refugia_adj_1	Round_3_Replicate_10	-9947.36	19912.72	25609.55	823.92	0.5877,0.1135,0.306,0.6571,1.1371,0.5757,1.1614,0.7491,28.0679
refugia_adj_1	Round_3_Replicate_11	-9434.11	18886.22	28813.48	906.94	0.4997,0.1463,0.4184,0.346,1.8998,0.4107,2.3141,0.5045,28.0679
refugia_adj_1	Round_3_Replicate_12	-9192.36	18402.72	37475.87	707.86	0.7495,0.2785,0.6519,0.4132,3.6172,0.4768,2.2338,0.8677,28.0679
refugia_adj_1	Round_3_Replicate_13	-10525.32	21068.64	33562.45	792.22	0.3303,0.1902,0.3045,0.8465,2.5489,0.3018,1.0924,0.7328,28.0679
